0, -540605.250000
1, -540668.000000
2, -540640.937500
3, -540613.937500
4, -540425.875000
5, -540431.062500
6, -540425.500000
7, -540413.812500
8, -540398.375000
9, -540380.312500
10, -540360.375000
11, -540280.750000
12, -540263.562500
13, -540244.812500
14, -540224.875000
15, -540204.062500
16, -540182.437500
17, -540160.187500
18, -540101.687500
19, -540080.375000
20, -540058.500000
21, -540036.125000
22, -540013.312500
23, -539990.187500
24, -539966.812500
25, -539943.062500
26, -539894.375000
27, -539871.062500
28, -539847.500000
29, -539823.750000
30, -539799.812500
31, -539775.687500
32, -539751.312500
33, -539707.375000
34, -539683.375000
35, -539659.125000
36, -539634.750000
37, -539610.312500
38, -539585.687500
39, -539560.937500
40, -539520.000000
41, -539495.562500
42, -539470.875000
43, -539446.125000
44, -539421.312500
45, -539396.375000
46, -539371.375000
47, -539332.625000
48, -539307.750000
49, -539282.812500
50, -539257.812500
51, -539232.687500
52, -539207.562500
53, -539182.312500
54, -539145.187500
55, -539120.062500
56, -539094.937500
57, -539069.687500
58, -539044.437500
59, -539019.125000
60, -538993.750000
61, -538968.312500
62, -538932.562500
63, -538907.187500
64, -538881.812500
65, -538856.375000
66, -538830.937500
67, -538805.437500
68, -538779.937500
69, -538745.125000
70, -538719.687500
71, -538694.125000
72, -538668.625000
73, -538643.125000
74, -538617.500000
75, -538591.875000
76, -538557.812500
77, -538532.312500
78, -538506.750000
79, -538481.062500
80, -538455.437500
81, -538429.812500
82, -538404.187500
83, -538370.750000
84, -538345.125000
85, -538319.437500
86, -538293.750000
87, -538268.062500
88, -538242.375000
89, -538216.625000
90, -538183.750000
91, -538158.062500
92, -538132.312500
93, -538106.625000
94, -538080.875000
95, -538055.125000
96, -538029.312500
97, -538003.500000
98, -537971.187500
99, -537945.437500
